trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.9, 'e': 0.9398537314349841}",20,0,-94.28946159153855,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.9, 'e': 0.9389138777035491}",25,0,-56.25743819241364,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.9, 'e': 0.9379749638258456}",30,0,-204.30968230852022,"{0: 13, 1: 5, 2: 9, 3: 1, 4: 2}",1
65,False,"{'a': 0.9, 'e': 0.9370369888620197}",20,0,-46.21295665755257,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
66,False,"{'a': 0.9, 'e': 0.9360999518731576}",20,0,-111.40633646068115,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.9, 'e': 0.9351638519212845}",20,0,-38.98131267945092,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.9, 'e': 0.9342286880693632}",25,0,-184.8045509171304,"{0: 8, 1: 4, 2: 11, 3: 1, 4: 1}",0
69,False,"{'a': 0.9, 'e': 0.9332944593812939}",25,0,-126.46474516430942,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
70,False,"{'a': 0.9, 'e': 0.9323611649219126}",25,0,-85.56566300709859,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.9, 'e': 0.9314288037569907}",20,0,-54.26556401066509,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.9, 'e': 0.9304973749532336}",20,6,-47.299535307661344,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
73,False,"{'a': 0.9, 'e': 0.9295668775782804}",20,0,-81.4695745795272,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
74,False,"{'a': 0.9, 'e': 0.9286373107007021}",20,0,-88.25600061782131,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.9, 'e': 0.9277086733900014}",20,0,-122.05631687674179,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
76,False,"{'a': 0.9, 'e': 0.9267809647166114}",20,0,-160.13265337122692,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
77,False,"{'a': 0.9, 'e': 0.9258541837518948}",25,0,-156.07578798561366,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
78,False,"{'a': 0.9, 'e': 0.9249283295681429}",30,0,-193.73052267765644,"{0: 15, 1: 8, 2: 3, 3: 1, 4: 3}",0
79,False,"{'a': 0.9, 'e': 0.9240034012385747}",20,0,-117.25896969464941,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
80,False,"{'a': 0.9, 'e': 0.9230793978373362}",25,1,-8.714397020558886,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.9, 'e': 0.9221563184394989}",25,0,-72.07363420772255,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.9, 'e': 0.9212341621210594}",20,0,-92.67686161151852,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
83,False,"{'a': 0.9, 'e': 0.9203129279589383}",30,0,-105.55286407018639,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
84,False,"{'a': 0.9, 'e': 0.9193926150309794}",30,0,-236.54476698910003,"{0: 13, 1: 2, 2: 12, 3: 0, 4: 3}",0
85,False,"{'a': 0.9, 'e': 0.9184732224159483}",20,0,-30.73949309034522,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
86,False,"{'a': 0.9, 'e': 0.9175547491935324}",25,0,-194.75347984151594,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
87,False,"{'a': 0.9, 'e': 0.9166371944443389}",20,0,-72.95534608077644,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
88,False,"{'a': 0.9, 'e': 0.9157205572498945}",20,0,-97.5729310462678,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
89,False,"{'a': 0.9, 'e': 0.9148048366926447}",30,0,-200.28723705279577,"{0: 15, 1: 3, 2: 6, 3: 5, 4: 1}",0
90,False,"{'a': 0.9, 'e': 0.913890031855952}",20,0,-42.2301599481322,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
91,False,"{'a': 0.9, 'e': 0.912976141824096}",20,0,-25.521268808828378,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.9, 'e': 0.912063165682272}",25,0,-159.74836262673506,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
93,False,"{'a': 0.9, 'e': 0.9111511025165897}",25,0,-147.63782575916775,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
94,False,"{'a': 0.9, 'e': 0.9102399514140731}",20,0,-72.9457581871741,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
95,False,"{'a': 0.9, 'e': 0.9093297114626591}",20,0,-45.63409145376776,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
96,False,"{'a': 0.9, 'e': 0.9084203817511963}",30,7,-132.6731737072902,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 2}",1
97,False,"{'a': 0.9, 'e': 0.9075119613694451}",30,0,-197.4292065000825,"{0: 17, 1: 5, 2: 3, 3: 2, 4: 3}",0
98,False,"{'a': 0.9, 'e': 0.9066044494080757}",30,0,-70.21481571650025,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
99,False,"{'a': 0.9, 'e': 0.9056978449586677}",30,0,-110.84464827492042,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
100,False,"{'a': 0.9, 'e': 0.9047921471137089}",20,0,-81.43236487782303,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
101,False,"{'a': 0.9, 'e': 0.9038873549665952}",25,0,-98.16056795820761,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
102,False,"{'a': 0.9, 'e': 0.9029834676116286}",25,0,-105.71485397594637,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
103,False,"{'a': 0.9, 'e': 0.902080484144017}",30,0,-92.67341963149411,"{0: 18, 1: 8, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.9, 'e': 0.901178403659873}",25,0,-69.97038149678227,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
105,False,"{'a': 0.9, 'e': 0.9002772252562131}",20,0,-109.24424662706689,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
106,False,"{'a': 0.9, 'e': 0.8993769480309569}",25,0,-54.58227001087056,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
107,False,"{'a': 0.9, 'e': 0.8984775710829259}",35,0,-194.8872440975852,"{0: 19, 1: 5, 2: 7, 3: 2, 4: 2}",0
108,False,"{'a': 0.9, 'e': 0.8975790935118431}",20,0,-113.39294241884544,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
109,False,"{'a': 0.9, 'e': 0.8966815144183312}",20,5,-79.3297249786961,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 1}",1
